Namespace(accumulations=25, basedir='', batchSize=2, batchSize_test=1, cpu=False, dataset='fouriersim', fid=<_io.TextIOWrapper name='/home/ew535/ML-SIM/pyTorch_training/outputs/MLSIMcopy-apo/log.txt' mode='w' encoding='UTF-8'>, imageSize='255', local='/rds/user/ew535/hpc-work/training data/thirdTest/', log=False, lr=0.0002, model='rcan', modifyPretrainedModel=False, multigpu=False, n_feats=96, n_resblocks=10, n_resgroups=3, narch=0, nch_in=3, nch_out=1, nepoch=500, noise='', norm='minmax', ntest=10, ntrain=4200, out='/home/ew535/ML-SIM/pyTorch_training/outputs/MLSIMcopy-apo', plotinterval=1, reduction=16, root='/rds/user/ew535/hpc-work/training data/thirdTest/', saveinterval=1, scale=1, scheduler='', server='/rds/user/ew535/hpc-work/training data/thirdTest/', task='sr', test=False, testinterval=1, undomulti=False, weights='/home/ew535/ML-SIM/pyTorch_training/outputs/MLSIMcopy-apo/prelim128.pth', workers=1) 


Epoch 128 done, 0.000946
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.80 dB / 29.8028

Epoch 129 done, 0.000843
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.83 dB / 28.8272

Epoch 130 done, 0.000843
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.50 dB / 29.4971

Epoch 131 done, 0.000816
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.76 dB / 28.7599

Epoch 132 done, 0.000838
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.77 dB / 28.7711

Epoch 133 done, 0.000874
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.01 dB / 29.0073

Epoch 134 done, 0.000862
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.10 dB / 29.0975

Epoch 135 done, 0.000846
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 27.93 dB / 27.9315

Epoch 136 done, 0.000850
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.97 dB / 29.9717

Epoch 137 done, 0.000817
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.61 dB / 29.6092

Epoch 138 done, 0.000825
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.92 dB / 28.9210

Epoch 139 done, 0.000834
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.38 dB / 29.3768

Epoch 140 done, 0.000813
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.67 dB / 29.6713

Epoch 141 done, 0.000844
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.54 dB / 28.5356

Epoch 142 done, 0.000871
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.56 dB / 28.5604

Epoch 143 done, 0.000844
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.26 dB / 28.2637

Epoch 144 done, 0.000832
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.70 dB / 29.6963

Epoch 145 done, 0.000820
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.47 dB / 29.4696

Epoch 146 done, 0.000808
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.65 dB / 29.6454

Epoch 147 done, 0.000802
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.88 dB / 28.8824

Epoch 148 done, 0.000786
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.80 dB / 29.7966

Epoch 149 done, 0.000811
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.90 dB / 29.8999

Epoch 150 done, 0.000806
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 28.94 dB / 28.9374

Epoch 151 done, 0.000823
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.47 dB / 29.4721

Epoch 152 done, 0.000817
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.26 dB / 29.2650

Epoch 153 done, 0.000807
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.92 dB / 29.9246

Epoch 154 done, 0.000831
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.60 dB / 29.6018

Epoch 155 done, 0.000835
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 30.00 dB / 30.0022

Epoch 156 done, 0.000822
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.47 dB / 29.4714

Epoch 157 done, 0.000836
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.97 dB / 29.9678

Epoch 158 done, 0.000802
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.36 dB / 29.3637

Epoch 159 done, 0.000798
Testing of 10 samples complete. bc: 15.92 dB / 15.9189, sr: 29.05 dB / 29.0537
